ItemID,item_idx
1,0
2,1
3,2
4,3
7,4
12,5
9,6
11,7
8,8
10,9
15,10
16,11
18,12
14,13
17,14
19,15
20,16
23,17
21,18
28,19
30,20
27,21
26,22
31,23
25,24
29,25
37,26
34,27
35,28
36,29
38,30
40,31
47,32
59,33
48,34
56,35
55,36
53,37
50,38
54,39
46,40
51,41
58,42
76,43
77,44
70,45
71,46
75,47
72,48
134,49
135,50
136,51
137,52
138,53
139,54
140,55
143,56
147,57
148,58
146,59
144,60
149,61
153,62
150,63
151,64
170,65
176,66
169,67
171,68
172,69
173,70
177,71
178,72
179,73
180,74
273,75
271,76
269,77
94,78
270,79
272,80
385,81
387,82
386,83
388,84
415,85
416,86
417,87
419,88
420,89
421,90
423,91
424,92
418,93
445,94
443,95
452,96
448,97
447,98
453,99
444,100
450,101
446,102
513,103
514,104
511,105
512,106
518,107
516,108
517,109
87,110
519,111
521,112
534,113
535,114
536,115
537,116
539,117
540,118
541,119
538,120
544,121
549,122
545,123
546,124
547,125
548,126
553,127
551,128
557,129
559,130
552,131
558,132
560,133
561,134
554,135
629,136
640,137
641,138
642,139
643,140
633,141
638,142
636,143
634,144
639,145
678,146
677,147
673,148
675,149
676,150
674,151
727,152
728,153
724,154
725,155
726,156
729,157
737,158
738,159
526,160
741,161
744,162
325,163
743,164
739,165
740,166
752,167
753,168
572,169
756,170
751,171
757,172
818,173
815,174
817,175
90,176
175,177
821,178
822,179
816,180
430,181
845,182
846,183
840,184
841,185
843,186
842,187
844,188
470,189
431,190
885,191
888,192
887,193
886,194
889,195
891,196
890,197
910,198
911,199
908,200
909,201
912,202
917,203
913,204
914,205
915,206
916,207
921,208
922,209
86,210
920,211
941,212
942,213
944,214
943,215
945,216
963,217
966,218
965,219
964,220
971,221
968,222
972,223
969,224
984,225
986,226
985,227
987,228
990,229
991,230
992,231
989,232
1008,233
1010,234
1011,235
1006,236
1007,237
1009,238
1012,239
1016,240
1017,241
390,242
1018,243
1024,244
106,245
1025,246
1027,247
1056,248
474,249
67,250
1057,251
1058,252
1178,253
960,254
1179,255
1181,256
1180,257
1204,258
1205,259
1202,260
1203,261
1217,262
1219,263
1222,264
1220,265
1221,266
1272,267
1273,268
1274,269
1275,270
1281,271
253,272
1282,273
774,274
1284,275
1286,276
1285,277
1287,278
1290,279
1292,280
1291,281
1293,282
1133,283
1314,284
1315,285
1316,286
1317,287
1319,288
460,289
1321,290
464,291
1324,292
1322,293
1323,294
1377,295
1376,296
746,297
1378,298
1380,299
1381,300
1382,301
1383,302
567,303
1384,304
1396,305
1085,306
1394,307
1395,308
1403,309
1404,310
1405,311
1402,312
1411,313
1412,314
299,315
1413,316
1414,317
1415,318
1416,319
745,320
1428,321
1434,322
1212,323
1427,324
1432,325
1259,326
1433,327
1430,328
1256,329
1435,330
411,331
1457,332
1454,333
1455,334
651,335
1480,336
1481,337
837,338
1479,339
1483,340
1489,341
1490,342
1491,343
259,344
1492,345
1493,346
1503,347
1500,348
1505,349
1506,350
1504,351
1507,352
1501,353
1508,354
1502,355
1513,356
1514,357
194,358
1517,359
246,360
1516,361
1518,362
1515,363
1534,364
1537,365
1538,366
1535,367
101,368
1536,369
1539,370
1543,371
1544,372
1545,373
1248,374
1551,375
1552,376
1548,377
1547,378
1549,379
1579,380
1577,381
1576,382
1578,383
1585,384
