ItemID,item_idx
43,0
44,1
45,2
61,3
62,4
60,5
63,6
65,7
66,8
67,9
29,10
68,11
82,12
78,13
80,14
83,15
79,16
85,17
81,18
159,19
161,20
162,21
163,22
164,23
165,24
166,25
167,26
183,27
182,28
184,29
185,30
197,31
198,32
199,33
200,34
202,35
203,36
204,37
205,38
207,39
208,40
209,41
210,42
211,43
215,44
214,45
216,46
218,47
213,48
224,49
231,50
225,51
227,52
229,53
230,54
232,55
226,56
228,57
234,58
235,59
236,60
237,61
247,62
244,63
245,64
246,65
248,66
249,67
260,68
262,69
265,70
261,71
254,72
253,73
258,74
263,75
266,76
267,77
268,78
251,79
252,80
257,81
291,82
288,83
294,84
289,85
293,86
292,87
310,88
314,89
319,90
320,91
322,92
302,93
321,94
324,95
313,96
327,97
329,98
333,99
334,100
335,101
328,102
311,103
336,104
331,105
306,106
307,107
332,108
304,109
305,110
312,111
330,112
340,113
341,114
342,115
309,116
339,117
344,118
326,119
337,120
338,121
316,122
317,123
323,124
315,125
318,126
343,127
301,128
303,129
353,130
357,131
354,132
355,133
375,134
376,135
377,136
378,137
381,138
384,139
379,140
380,141
383,142
392,143
393,144
390,145
391,146
409,147
407,148
408,149
410,150
411,151
412,152
438,153
439,154
441,155
440,156
460,157
463,158
462,159
461,160
467,161
465,162
475,163
38,164
27,165
382,166
470,167
474,168
25,169
471,170
434,171
466,172
469,173
431,174
472,175
476,176
477,177
478,178
386,179
31,180
479,181
480,182
423,183
483,184
484,185
485,186
468,187
523,188
524,189
527,190
529,191
525,192
490,193
528,194
531,195
530,196
522,197
624,198
623,199
626,200
621,201
627,202
625,203
628,204
629,205
630,206
631,207
649,208
645,209
646,210
652,211
650,212
651,213
644,214
653,215
654,216
655,217
656,218
657,219
660,220
661,221
720,222
717,223
718,224
719,225
721,226
722,227
730,228
735,229
731,230
732,231
733,232
734,233
769,234
768,235
770,236
772,237
766,238
767,239
775,240
774,241
777,242
778,243
773,244
779,245
776,246
780,247
783,248
785,249
784,250
787,251
790,252
54,253
786,254
791,255
794,256
792,257
793,258
796,259
799,260
798,261
797,262
807,263
808,264
809,265
810,266
812,267
581,268
814,269
553,270
823,271
824,272
827,273
829,274
828,275
832,276
831,277
834,278
830,279
863,280
860,281
862,282
868,283
859,284
861,285
866,286
858,287
865,288
864,289
454,290
931,291
930,292
933,293
622,294
932,295
935,296
928,297
973,298
974,299
975,300
976,301
979,302
980,303
981,304
982,305
144,306
457,307
1000,308
997,309
996,310
998,311
994,312
999,313
1019,314
1020,315
1021,316
1022,317
1035,318
1037,319
1038,320
1033,321
1036,322
1039,323
1040,324
712,325
1043,326
1042,327
488,328
1047,329
1046,330
1044,331
619,332
1060,333
1061,334
1062,335
1064,336
1065,337
1066,338
1067,339
1068,340
1069,341
1098,342
1101,343
1097,344
1099,345
1100,346
1102,347
573,348
569,349
1113,350
1111,351
1119,352
1118,353
1114,354
1117,355
1115,356
1163,357
1125,358
1164,359
1171,360
1167,361
1169,362
169,363
1165,364
1017,365
1172,366
1173,367
1174,368
1175,369
1176,370
1188,371
1189,372
1183,373
572,374
1184,375
1190,376
674,377
1191,378
1185,379
449,380
1193,381
1194,382
1195,383
1196,384
1198,385
1199,386
1197,387
1200,388
1212,389
1213,390
1214,391
1215,392
1234,393
1240,394
1235,395
1238,396
1243,397
1237,398
1241,399
1242,400
1277,401
1279,402
1278,403
1276,404
1301,405
1303,406
1295,407
1305,408
1294,409
1302,410
1299,411
1307,412
1298,413
1306,414
1304,415
1297,416
1337,417
946,418
1338,419
1339,420
1342,421
1290,422
906,423
1341,424
1343,425
1344,426
1351,427
1355,428
1354,429
698,430
699,431
1356,432
1353,433
371,434
1352,435
1357,436
1362,437
1361,438
1363,439
1360,440
1364,441
1367,442
1371,443
1368,444
1370,445
1366,446
1372,447
1375,448
1374,449
917,450
1389,451
1388,452
1030,453
491,454
1386,455
1387,456
1390,457
1406,458
1407,459
1408,460
1441,461
1437,462
1439,463
1438,464
1440,465
1436,466
1447,467
1449,468
1450,469
567,470
1448,471
1453,472
1527,473
1525,474
1526,475
1529,476
1459,477
1542,478
1540,479
1554,480
1553,481
1556,482
1555,483
1565,484
1564,485
1566,486
890,487
1567,488
965,489
1584,490
1581,491
1582,492
1621,493
1630,494
1631,495
1635,496
1637,497
1620,498
1624,499
1636,500
1626,501
1627,502
1622,503
1618,504
1625,505
1628,506
1629,507
1634,508
1623,509
1619,510
1645,511
1646,512
496,513
1650,514
1651,515
1653,516
1654,517
1665,518
1666,519
1668,520
325,521
1689,522
984,523
368,524
1699,525
1700,526
1701,527
1702,528
1703,529
1704,530
1705,531
898,532
1753,533
1760,534
1763,535
1761,536
1752,537
714,538
1755,539
1756,540
1082,541
1758,542
1759,543
1764,544
1519,545
1766,546
1546,547
1762,548
1817,549
1815,550
1814,551
1819,552
1818,553
1230,554
1820,555
1834,556
1836,557
1835,558
1841,559
1839,560
1838,561
1844,562
1842,563
1845,564
15,565
1856,566
1863,567
1846,568
1848,569
1849,570
1850,571
1852,572
493,573
1853,574
1854,575
1857,576
1858,577
1861,578
1862,579
1865,580
1847,581
1855,582
1907,583
1904,584
1906,585
1908,586
1905,587
1913,588
1912,589
1976,590
1801,591
1980,592
1657,593
1981,594
1977,595
1978,596
1592,597
1975,598
1979,599
1994,600
1995,601
519,602
1996,603
2000,604
1999,605
2002,606
2005,607
2001,608
2003,609
175,610
2018,611
2019,612
34,613
845,614
2020,615
