SessionID,ItemID,Time
1,3186,978300019.0
1,1270,978300055.0
1,1721,978300055.0
1,1022,978300055.0
1,2340,978300103.0
1,1836,978300172.0
1,3408,978300275.0
1,2804,978300719.0
1,1207,978300719.0
1,1193,978300760.0
1,720,978300760.0
1,260,978300760.0
1,919,978301368.0
1,608,978301398.0
1,2692,978301570.0
1,1961,978301590.0
1,2028,978301619.0
1,3105,978301713.0
2,3735,978298814.0
2,1259,978298841.0
2,1954,978298841.0
2,1784,978298841.0
2,2728,978298881.0
2,1968,978298881.0
2,1103,978298905.0
2,902,978298905.0
2,3451,978298924.0
2,3578,978298958.0
2,2852,978298958.0
2,3334,978298958.0
2,3068,978299000.0
2,265,978299026.0
2,2312,978299046.0
2,590,978299083.0
2,1253,978299120.0
2,3071,978299120.0
2,1244,978299143.0
3,260,978297512.0
3,1196,978297539.0
3,2871,978297539.0
3,1197,978297570.0
3,1198,978297570.0
3,3168,978297570.0
3,1210,978297600.0
3,1291,978297600.0
3,2167,978297600.0
3,1580,978297663.0
3,1261,978297663.0
3,480,978297690.0
3,1615,978297710.0
3,653,978297757.0
3,733,978297757.0
3,2006,978297757.0
3,2470,978297777.0
3,2115,978297777.0
3,1049,978297805.0
3,552,978297837.0
3,2617,978297837.0
3,648,978297867.0
3,2735,978297867.0
3,1136,978298079.0
3,3114,978298103.0
4,1210,978293924.0
4,1097,978293964.0
4,3468,978294008.0
4,480,978294008.0
4,3527,978294008.0
4,260,978294199.0
4,1196,978294199.0
4,1198,978294199.0
4,1387,978294199.0
4,2028,978294230.0
4,2366,978294230.0
4,1201,978294230.0
4,2692,978294230.0
4,2947,978294230.0
4,1214,978294260.0
5,2717,978241072.0
5,908,978241072.0
5,919,978241072.0
5,1250,978241112.0
5,356,978241112.0
5,2858,978241390.0
5,1127,978241390.0
5,2188,978241390.0
5,2683,978241434.0
5,3051,978241434.0
5,2997,978241556.0
5,2770,978241981.0
5,2355,978241981.0
5,2908,978241981.0
5,3786,978241981.0
5,3016,978242016.0
5,2759,978242080.0
5,1093,978242080.0
5,2599,978242323.0
5,3113,978242323.0
5,3408,978242323.0
5,2428,978242541.0
5,2959,978242541.0
6,2858,978236809.0
6,2396,978236809.0
6,1806,978236876.0
6,569,978236876.0
6,2506,978236975.0
6,2082,978236975.0
6,1,978237008.0
6,2321,978237034.0
6,590,978237232.0
6,2966,978237273.0
6,296,978237379.0
6,838,978237444.0
6,34,978237444.0
6,588,978237511.0
6,595,978237511.0
6,1688,978237570.0
6,364,978237570.0
6,48,978237570.0
6,1566,978237570.0
6,199,978237570.0
6,1030,978237691.0
6,1380,978237691.0
6,1035,978237767.0
6,3604,978237767.0
6,1947,978237767.0
6,914,978237767.0
7,1270,978234581.0
7,480,978234607.0
7,442,978234632.0
7,1196,978234632.0
7,1221,978234659.0
7,648,978234737.0
7,3578,978234737.0
7,3793,978234737.0
7,1997,978234737.0
7,3753,978234737.0
7,1610,978234786.0
7,589,978234786.0
7,2571,978234786.0
7,457,978234786.0
7,110,978234786.0
7,2028,978234786.0
7,377,978234810.0
7,3418,978234810.0
7,2916,978234842.0
7,6,978234842.0
7,733,978234842.0
7,474,978234842.0
8,1210,978228789.0
8,111,978228832.0
8,908,978228882.0
8,3481,978228882.0
8,1573,978228960.0
8,480,978228960.0
8,589,978229138.0
8,393,978229138.0
8,2028,978229138.0
8,3265,978229138.0
8,3418,978229138.0
8,2692,978229138.0
8,2916,978229172.0
8,2571,978229172.0
8,110,978229172.0
8,377,978229204.0
8,2427,978229204.0
8,555,978229204.0
8,3267,978229204.0
8,163,978229246.0
8,3107,978229246.0
8,2278,978229293.0
8,2490,978229293.0
8,1916,978229293.0
8,1580,978229293.0
8,733,978229347.0
8,2006,978229347.0
8,3256,978229347.0
8,349,978229347.0
